45,8,93,8,93,22,45,22
138,8,174,8,174,25,138,25
129,21,188,21,188,36,129,36
54,24,88,24,88,36,54,36
66,249,94,249,94,265,66,265
132,261,156,261,156,290,132,290
9,260,136,264,135,293,8,290
8,290,157,290,157,321,8,321
37,330,54,330,54,341,37,341
54,329,72,329,72,341,54,341
73,332,80,332,80,341,73,341
80,332,101,332,101,341,80,341
102,332,129,332,129,341,102,341
42,344,60,344,60,353,42,353
60,344,82,344,82,354,60,354
82,344,125,344,125,353,82,353
226,352,252,352,252,364,226,364
