333,317,397,319,389,588,324,586
376,482,398,482,398,556,376,556
321,685,396,685,396,709,321,709
218,687,307,687,307,710,218,710
410,687,495,687,495,709,410,709
189,739,606,727,609,823,192,836
354,851,464,851,464,873,354,873
178,853,273,853,273,873,178,873
282,853,343,853,343,873,282,873
473,853,534,853,534,871,473,871
281,878,362,878,362,898,281,898
370,878,432,878,432,898,370,898
307,910,403,910,403,957,307,957
326,957,384,957,384,981,326,981
265,981,290,981,290,998,265,998
289,981,329,981,329,998,289,998
332,981,371,981,371,998,332,998
375,981,401,981,401,998,375,998
409,981,442,981,442,998,409,998
