94,29,116,29,116,48,94,48
116,29,169,29,169,48,116,48
105,46,158,46,158,64,105,64
117,65,146,65,146,82,117,82
114,81,150,81,150,98,114,98
105,97,158,97,158,114,105,114
56,248,205,251,205,290,55,287
53,285,85,285,85,297,53,297
88,285,205,285,205,297,88,297
96,298,164,298,164,329,96,329
60,334,98,334,98,342,60,342
98,334,118,334,118,342,98,342
118,334,142,334,142,342,118,342
142,334,157,334,157,342,142,342
157,334,205,334,205,342,157,342
113,360,137,360,137,369,113,369
138,360,150,360,150,369,138,369
