116,18,213,18,213,33,116,33
221,18,270,18,270,37,221,37
274,18,312,18,312,33,274,33
316,18,404,18,404,33,316,33
250,37,277,37,277,44,250,44
229,561,321,563,321,577,229,575
90,563,148,565,147,578,90,576
150,564,192,564,192,577,150,577
196,564,226,564,226,576,196,576
324,563,367,564,366,577,323,575
369,564,433,564,433,576,369,576
324,580,496,580,496,629,324,629
34,582,203,579,204,627,34,629
224,584,296,584,296,626,224,626
397,628,497,628,497,644,397,644
33,629,102,629,102,644,33,644
106,629,182,629,182,645,106,645
216,629,282,629,282,645,216,645
286,629,365,629,365,645,286,645
294,653,320,653,320,668,294,668
109,654,160,654,160,668,109,668
165,654,202,654,202,668,165,668
208,654,290,654,290,668,208,668
325,654,413,654,413,668,325,668
113,759,214,759,214,775,113,775
218,761,248,761,248,774,218,774
253,761,293,761,293,774,253,774
298,761,340,761,340,774,298,774
344,761,408,761,408,776,344,776
